timestamp_s,exec_time_ms
9.8319,0.04
9.8425,0.04
9.8527,0.04
9.8631,0.04
9.8733,0.04
9.8835,0.04
9.894,0.04
9.9044,0.26
9.9148,0.04
9.9249,0.04
9.935,0.04
9.9455,0.03
9.9554,0.04
9.9659,0.04
9.976,0.04
9.9865,0.03
9.9967,0.04
10.007,0.04
10.0174,0.04
10.0276,0.04
10.038,0.04
10.048,0.04
10.0586,0.04
10.0688,0.04
10.0793,0.04
10.0895,0.04
10.0997,0.04
10.1101,0.04
10.1204,0.28
10.1305,0.04
10.1408,0.04
10.1521,0.04
10.1611,0.04
10.1714,0.04
10.1814,0.04
10.1918,0.04
10.2018,0.04
10.2125,0.03
10.2224,0.04
10.2325,0.04
10.2429,0.04
10.2531,0.04
10.2635,0.04
10.2737,0.04
10.2838,0.04
10.2939,0.04
10.3045,0.04
10.3147,0.04
10.3247,0.04
10.3351,0.04
10.3455,0.04
10.3557,0.04
10.3657,0.04
10.3759,0.04
10.386,0.04
10.3963,0.04
10.4064,0.04
10.4167,0.04
10.4269,0.04
10.437,0.04
10.4479,0.28
10.4574,0.04
10.4677,0.04
10.4778,0.04
10.488,0.04
10.4984,0.04
10.5087,0.04
10.5189,0.04
10.5299,0.29
10.5394,0.04
10.5495,0.04
10.5597,0.04
10.5699,0.04
10.5801,0.04
10.5905,0.03
10.6005,0.04
10.6107,0.04
10.6218,0.04
10.6315,0.03
10.6415,0.04
10.6519,0.04
10.6619,0.04
10.6724,0.04
10.6825,0.04
10.6927,0.04
10.7029,0.04
10.713,0.04
10.7234,0.04
10.7336,0.04
10.7438,0.04
10.7541,0.04
10.764,0.04
10.7745,0.04
10.7847,0.04
10.795,0.04
10.8051,0.04
10.815,0.04
10.8254,0.04
10.8358,0.04
10.8458,0.04
10.8561,0.04
10.8664,0.04
10.8766,0.04
10.8867,0.04
10.8969,0.04
10.9071,0.04
10.9175,0.03
10.9274,0.04
10.9377,0.04
10.9478,0.04
10.9581,0.04
10.9684,0.04
10.9785,0.04
10.9887,0.04
10.9988,0.04
11.0092,0.04
11.0194,0.04
11.0297,0.04
11.0398,0.04
11.05,0.04
11.0604,0.04
11.0705,0.04
11.0807,0.04
11.0909,0.04
11.1011,0.04
11.1115,0.04
11.1217,0.04
11.1319,0.04
11.1424,0.28
11.1525,0.03
11.1627,0.04
11.1729,0.04
11.1834,0.03
11.1935,0.04
11.2037,0.04
11.2139,0.04
11.2246,0.04
11.2348,0.04
11.2452,0.04
11.2554,0.04
11.2657,0.04
11.2767,0.04
11.2864,0.04
11.2967,0.04
11.3069,0.04
11.3171,0.04
11.3274,0.04
11.3377,0.04
11.3481,0.04
11.3584,0.04
11.3688,0.04
11.379,0.04
